content_id,content_type,owner_type,license_type,allow_view,allow_download,allow_share,allow_modify,allow_commercial,copyright_start_year,copyright_duration_years,current_year,copyright_expired,usage_context,detected_usage,misuse_flag,legal_summary_label
SCET0046,image,company,royalty_free,1,1,1,1,1,2014,20,2026,0,commercial,sell,0,Usage restrictions apply
SCET0047,image,company,all_rights_reserved,1,0,0,0,0,1941,50,2026,1,commercial,download,0,Public domain content
SCET0048,image,organization,creative_commons,1,1,1,1,0,1953,30,2026,1,education,modify,0,Public domain content
SCET0049,image,company,public_domain,1,1,1,1,1,1986,20,2026,1,social_media,download,0,Public domain content
SCET0050,video,company,creative_commons,1,1,1,1,0,1938,50,2026,1,education,modify,0,Public domain content
SCET0051,article,company,all_rights_reserved,1,0,0,0,0,1956,70,2026,1,social_media,sell,1,Public domain content
SCET0052,pdf,individual,all_rights_reserved,1,0,0,0,0,1981,50,2026,0,education,modify,1,Usage restrictions apply
SCET0053,audio,individual,public_domain,1,1,1,1,1,1997,50,2026,0,research,sell,0,Usage restrictions apply
SCET0054,image,individual,creative_commons,1,1,1,1,0,1924,20,2026,1,social_media,download,0,Public domain content
SCET0055,pdf,organization,all_rights_reserved,1,0,0,0,0,1951,10,2026,1,commercial,view,0,Public domain content
SCET0056,pdf,organization,all_rights_reserved,1,0,0,0,0,1905,20,2026,1,commercial,remix,1,Public domain content
SCET0057,audio,individual,creative_commons,1,1,1,1,0,1938,10,2026,1,education,share,0,Public domain content
SCET0058,video,company,royalty_free,1,1,1,1,1,2000,20,2026,1,social_media,modify,0,Public domain content
SCET0059,pdf,individual,public_domain,1,1,1,1,1,1950,70,2026,1,research,download,0,Public domain content
SCET0060,image,individual,all_rights_reserved,1,0,0,0,0,1936,20,2026,1,education,modify,1,Public domain content
SCET0061,article,individual,public_domain,1,1,1,1,1,2018,30,2026,0,research,sell,0,Usage restrictions apply
SCET0062,pdf,individual,royalty_free,1,1,1,1,1,1936,30,2026,1,education,download,0,Public domain content
SCET0063,image,organization,all_rights_reserved,1,0,0,0,0,1975,30,2026,1,social_media,remix,1,Public domain content
SCET0064,pdf,individual,public_domain,1,1,1,1,1,1923,50,2026,1,education,download,0,Public domain content
SCET0065,image,individual,creative_commons,1,1,1,1,0,2000,10,2026,1,social_media,share,0,Public domain content
SCET0066,pdf,individual,creative_commons,1,1,1,1,0,1958,50,2026,1,education,download,0,Public domain content
SCET0067,image,individual,creative_commons,1,1,1,1,0,1914,50,2026,1,education,remix,0,Public domain content
SCET0068,video,company,royalty_free,1,1,1,1,1,1956,20,2026,1,commercial,download,0,Public domain content
SCET0069,audio,organization,creative_commons,1,1,1,1,0,1911,10,2026,1,research,share,0,Public domain content
SCET0070,image,organization,royalty_free,1,1,1,1,1,2000,20,2026,1,education,view,0,Public domain content
SCET0071,video,individual,all_rights_reserved,1,0,0,0,0,2018,20,2026,0,education,share,1,Usage restrictions apply
SCET0072,audio,company,royalty_free,1,1,1,1,1,2017,50,2026,0,social_media,sell,0,Usage restrictions apply
SCET0073,audio,company,public_domain,1,1,1,1,1,2012,10,2026,1,commercial,sell,0,Public domain content
SCET0074,image,organization,all_rights_reserved,1,0,0,0,0,2002,30,2026,0,commercial,sell,1,Usage restrictions apply
SCET0075,audio,company,all_rights_reserved,1,0,0,0,0,1948,20,2026,1,education,sell,1,Public domain content
SCET0076,video,organization,creative_commons,1,1,1,1,0,1951,10,2026,1,commercial,download,0,Public domain content
SCET0077,article,organization,public_domain,1,1,1,1,1,1999,50,2026,0,social_media,share,0,Usage restrictions apply
SCET0078,image,organization,public_domain,1,1,1,1,1,1903,30,2026,1,social_media,remix,0,Public domain content
SCET0079,video,organization,creative_commons,1,1,1,1,0,1946,20,2026,1,education,view,0,Public domain content
SCET0080,image,company,royalty_free,1,1,1,1,1,1915,10,2026,1,commercial,share,0,Public domain content
SCET0081,article,company,creative_commons,1,1,1,1,0,1932,50,2026,1,education,view,0,Public domain content
SCET0082,audio,company,all_rights_reserved,1,0,0,0,0,2024,30,2026,0,social_media,share,1,Usage restrictions apply
SCET0083,image,company,all_rights_reserved,1,0,0,0,0,1911,10,2026,1,research,sell,1,Public domain content
SCET0084,pdf,individual,royalty_free,1,1,1,1,1,2020,20,2026,0,research,download,0,Usage restrictions apply
SCET0085,video,individual,creative_commons,1,1,1,1,0,1930,10,2026,1,social_media,modify,0,Public domain content
SCET0086,audio,individual,royalty_free,1,1,1,1,1,1953,20,2026,1,education,modify,0,Public domain content
SCET0087,audio,organization,all_rights_reserved,1,0,0,0,0,2001,70,2026,0,education,modify,1,Usage restrictions apply
SCET0088,article,organization,creative_commons,1,1,1,1,0,2012,30,2026,0,commercial,share,0,Usage restrictions apply
SCET0089,audio,individual,all_rights_reserved,1,0,0,0,0,1985,20,2026,1,research,share,1,Public domain content
SCET0090,image,individual,creative_commons,1,1,1,1,0,1963,10,2026,1,social_media,modify,0,Public domain content
SCET0091,pdf,organization,all_rights_reserved,1,0,0,0,0,1970,20,2026,1,social_media,view,0,Public domain content
SCET0092,article,company,public_domain,1,1,1,1,1,1972,50,2026,1,education,remix,0,Public domain content
SCET0093,article,company,creative_commons,1,1,1,1,0,1911,50,2026,1,education,view,0,Public domain content
SCET0094,article,individual,creative_commons,1,1,1,1,0,1986,10,2026,1,education,download,0,Public domain content
SCET0095,pdf,company,public_domain,1,1,1,1,1,2002,50,2026,0,social_media,sell,0,Usage restrictions apply
SCET0096,image,individual,public_domain,1,1,1,1,1,2024,50,2026,0,education,remix,0,Usage restrictions apply
SCET0097,article,company,creative_commons,1,1,1,1,0,1919,20,2026,1,commercial,remix,0,Public domain content
SCET0098,pdf,individual,public_domain,1,1,1,1,1,1990,30,2026,1,education,share,0,Public domain content
SCET0099,video,organization,all_rights_reserved,1,0,0,0,0,2013,70,2026,0,education,sell,1,Usage restrictions apply
SCET0100,article,company,public_domain,1,1,1,1,1,2016,20,2026,0,education,remix,0,Usage restrictions apply
SCET0101,audio,organization,royalty_free,1,1,1,1,1,1937,50,2026,1,commercial,share,0,Public domain content
SCET0102,image,organization,creative_commons,1,1,1,1,0,1921,10,2026,1,education,share,0,Public domain content
SCET0103,video,individual,public_domain,1,1,1,1,1,2002,30,2026,0,education,modify,0,Usage restrictions apply
SCET0104,article,organization,creative_commons,1,1,1,1,0,1973,50,2026,1,education,download,0,Public domain content
SCET0105,article,company,public_domain,1,1,1,1,1,2019,70,2026,0,commercial,download,0,Usage restrictions apply
SCET0106,pdf,organization,royalty_free,1,1,1,1,1,2020,70,2026,0,commercial,remix,0,Usage restrictions apply
SCET0107,video,individual,royalty_free,1,1,1,1,1,1986,50,2026,0,education,download,0,Usage restrictions apply
SCET0108,video,organization,creative_commons,1,1,1,1,0,1947,10,2026,1,social_media,download,0,Public domain content
SCET0109,video,organization,public_domain,1,1,1,1,1,1995,20,2026,1,social_media,sell,0,Public domain content
SCET0110,video,company,public_domain,1,1,1,1,1,1964,10,2026,1,commercial,modify,0,Public domain content
SCET0111,pdf,company,public_domain,1,1,1,1,1,1928,10,2026,1,commercial,modify,0,Public domain content
SCET0112,image,company,all_rights_reserved,1,0,0,0,0,1981,50,2026,0,research,modify,1,Usage restrictions apply
SCET0113,audio,company,public_domain,1,1,1,1,1,1901,10,2026,1,commercial,view,0,Public domain content
SCET0114,article,company,creative_commons,1,1,1,1,0,2024,70,2026,0,commercial,remix,0,Usage restrictions apply
SCET0115,pdf,individual,creative_commons,1,1,1,1,0,1904,20,2026,1,research,download,0,Public domain content
SCET0116,video,company,public_domain,1,1,1,1,1,1981,10,2026,1,commercial,share,0,Public domain content
SCET0117,video,individual,royalty_free,1,1,1,1,1,1986,10,2026,1,education,share,0,Public domain content
SCET0118,pdf,organization,creative_commons,1,1,1,1,0,1966,10,2026,1,research,sell,1,Public domain content
SCET0119,video,individual,public_domain,1,1,1,1,1,1990,50,2026,0,commercial,view,0,Usage restrictions apply
SCET0120,pdf,individual,creative_commons,1,1,1,1,0,1942,50,2026,1,research,remix,0,Public domain content
SCET0121,image,individual,all_rights_reserved,1,0,0,0,0,1945,70,2026,1,commercial,modify,1,Public domain content
SCET0122,video,individual,all_rights_reserved,1,0,0,0,0,1988,10,2026,1,education,share,1,Public domain content
SCET0123,pdf,company,all_rights_reserved,1,0,0,0,0,1954,50,2026,1,education,remix,1,Public domain content
SCET0124,article,company,public_domain,1,1,1,1,1,1906,10,2026,1,research,share,0,Public domain content
SCET0125,audio,organization,royalty_free,1,1,1,1,1,1947,30,2026,1,social_media,view,0,Public domain content
SCET0126,article,company,all_rights_reserved,1,0,0,0,0,1903,50,2026,1,education,modify,1,Public domain content
SCET0127,audio,individual,creative_commons,1,1,1,1,0,2002,30,2026,0,commercial,share,0,Usage restrictions apply
SCET0128,image,organization,public_domain,1,1,1,1,1,1946,20,2026,1,research,sell,0,Public domain content
SCET0129,pdf,organization,creative_commons,1,1,1,1,0,1926,30,2026,1,social_media,download,0,Public domain content
SCET0130,pdf,company,royalty_free,1,1,1,1,1,2016,20,2026,0,commercial,download,0,Usage restrictions apply
SCET0131,audio,company,public_domain,1,1,1,1,1,1980,50,2026,0,commercial,modify,0,Usage restrictions apply
SCET0132,image,organization,all_rights_reserved,1,0,0,0,0,1983,50,2026,0,commercial,modify,1,Usage restrictions apply
SCET0133,article,individual,public_domain,1,1,1,1,1,1972,70,2026,0,social_media,sell,0,Usage restrictions apply
SCET0134,pdf,organization,all_rights_reserved,1,0,0,0,0,1920,50,2026,1,commercial,sell,1,Public domain content
SCET0135,article,individual,creative_commons,1,1,1,1,0,1999,30,2026,0,research,download,0,Usage restrictions apply
SCET0136,image,company,all_rights_reserved,1,0,0,0,0,1974,50,2026,1,research,sell,1,Public domain content
SCET0137,article,individual,creative_commons,1,1,1,1,0,1921,30,2026,1,social_media,remix,0,Public domain content
SCET0138,pdf,company,royalty_free,1,1,1,1,1,1953,20,2026,1,social_media,download,0,Public domain content
SCET0139,article,individual,creative_commons,1,1,1,1,0,1937,20,2026,1,commercial,sell,1,Public domain content
SCET0140,video,individual,creative_commons,1,1,1,1,0,1978,50,2026,0,commercial,view,0,Usage restrictions apply
SCET0141,video,individual,creative_commons,1,1,1,1,0,1941,10,2026,1,commercial,view,0,Public domain content
SCET0142,pdf,individual,creative_commons,1,1,1,1,0,1910,20,2026,1,education,modify,0,Public domain content
SCET0143,image,company,all_rights_reserved,1,0,0,0,0,1977,20,2026,1,social_media,remix,1,Public domain content
SCET0144,pdf,individual,creative_commons,1,1,1,1,0,1986,30,2026,1,commercial,download,0,Public domain content
SCET0145,pdf,company,public_domain,1,1,1,1,1,2022,10,2026,0,research,sell,0,Usage restrictions apply
SCET0146,article,individual,public_domain,1,1,1,1,1,1992,70,2026,0,social_media,download,0,Usage restrictions apply
SCET0147,video,organization,creative_commons,1,1,1,1,0,1938,50,2026,1,social_media,sell,1,Public domain content
SCET0148,pdf,organization,creative_commons,1,1,1,1,0,1967,20,2026,1,education,download,0,Public domain content
SCET0149,image,company,all_rights_reserved,1,0,0,0,0,1938,20,2026,1,research,remix,1,Public domain content
SCET0150,pdf,organization,creative_commons,1,1,1,1,0,1970,20,2026,1,education,sell,1,Public domain content
SCET0151,audio,individual,royalty_free,1,1,1,1,1,1932,70,2026,1,social_media,share,0,Public domain content
SCET0152,image,company,creative_commons,1,1,1,1,0,1924,10,2026,1,commercial,remix,0,Public domain content
SCET0153,audio,organization,public_domain,1,1,1,1,1,1909,20,2026,1,education,modify,0,Public domain content
SCET0154,pdf,organization,public_domain,1,1,1,1,1,1969,30,2026,1,education,view,0,Public domain content
SCET0155,pdf,organization,creative_commons,1,1,1,1,0,1933,30,2026,1,research,download,0,Public domain content
SCET0156,audio,company,royalty_free,1,1,1,1,1,1914,50,2026,1,education,modify,0,Public domain content
SCET0157,audio,company,creative_commons,1,1,1,1,0,2024,30,2026,0,education,remix,0,Usage restrictions apply
SCET0158,pdf,company,all_rights_reserved,1,0,0,0,0,1901,30,2026,1,research,share,1,Public domain content
SCET0159,audio,individual,creative_commons,1,1,1,1,0,1922,20,2026,1,research,download,0,Public domain content
SCET0160,pdf,company,creative_commons,1,1,1,1,0,2004,70,2026,0,research,download,0,Usage restrictions apply
SCET0161,pdf,organization,creative_commons,1,1,1,1,0,1933,70,2026,1,research,share,0,Public domain content
SCET0162,video,organization,all_rights_reserved,1,0,0,0,0,1990,20,2026,1,social_media,modify,1,Public domain content
SCET0163,pdf,organization,creative_commons,1,1,1,1,0,2023,70,2026,0,commercial,share,0,Usage restrictions apply
SCET0164,pdf,organization,all_rights_reserved,1,0,0,0,0,1983,50,2026,0,education,share,1,Usage restrictions apply
SCET0165,audio,individual,creative_commons,1,1,1,1,0,1902,30,2026,1,research,download,0,Public domain content
SCET0166,article,individual,creative_commons,1,1,1,1,0,1985,20,2026,1,social_media,download,0,Public domain content
SCET0167,pdf,individual,royalty_free,1,1,1,1,1,2000,50,2026,0,research,sell,0,Usage restrictions apply
SCET0168,image,individual,public_domain,1,1,1,1,1,1933,30,2026,1,research,download,0,Public domain content
SCET0169,video,company,royalty_free,1,1,1,1,1,2014,10,2026,1,commercial,share,0,Public domain content
SCET0170,image,individual,public_domain,1,1,1,1,1,1969,50,2026,1,social_media,sell,0,Public domain content
SCET0171,image,organization,creative_commons,1,1,1,1,0,1959,50,2026,1,research,download,0,Public domain content
SCET0172,audio,individual,all_rights_reserved,1,0,0,0,0,2016,70,2026,0,social_media,sell,1,Usage restrictions apply
SCET0173,article,organization,creative_commons,1,1,1,1,0,1902,10,2026,1,research,view,0,Public domain content
SCET0174,pdf,organization,public_domain,1,1,1,1,1,1937,20,2026,1,social_media,share,0,Public domain content
SCET0175,article,individual,creative_commons,1,1,1,1,0,2005,20,2026,1,commercial,view,0,Public domain content
SCET0176,video,organization,royalty_free,1,1,1,1,1,2010,50,2026,0,research,share,0,Usage restrictions apply
SCET0177,image,company,royalty_free,1,1,1,1,1,1916,20,2026,1,social_media,download,0,Public domain content
SCET0178,image,organization,royalty_free,1,1,1,1,1,1913,70,2026,1,education,modify,0,Public domain content
SCET0179,article,company,royalty_free,1,1,1,1,1,1978,70,2026,0,commercial,view,0,Usage restrictions apply
SCET0180,pdf,individual,all_rights_reserved,1,0,0,0,0,1921,20,2026,1,research,share,1,Public domain content
SCET0181,audio,company,royalty_free,1,1,1,1,1,1925,70,2026,1,commercial,share,0,Public domain content
SCET0182,audio,individual,public_domain,1,1,1,1,1,1947,70,2026,1,research,sell,0,Public domain content
SCET0183,video,individual,public_domain,1,1,1,1,1,1967,10,2026,1,research,remix,0,Public domain content
SCET0184,pdf,organization,all_rights_reserved,1,0,0,0,0,1985,30,2026,1,social_media,modify,1,Public domain content
SCET0185,video,individual,creative_commons,1,1,1,1,0,1942,10,2026,1,social_media,download,0,Public domain content
SCET0186,article,organization,royalty_free,1,1,1,1,1,1931,50,2026,1,research,download,0,Public domain content
SCET0187,image,organization,public_domain,1,1,1,1,1,1995,20,2026,1,social_media,view,0,Public domain content
SCET0188,audio,company,creative_commons,1,1,1,1,0,1931,10,2026,1,social_media,modify,0,Public domain content
SCET0189,article,company,public_domain,1,1,1,1,1,1950,70,2026,1,research,view,0,Public domain content
SCET0190,video,company,creative_commons,1,1,1,1,0,2007,70,2026,0,social_media,modify,0,Usage restrictions apply
SCET0191,image,individual,royalty_free,1,1,1,1,1,1968,70,2026,0,research,sell,0,Usage restrictions apply
SCET0192,image,individual,royalty_free,1,1,1,1,1,1999,50,2026,0,research,remix,0,Usage restrictions apply
SCET0193,image,individual,all_rights_reserved,1,0,0,0,0,1979,10,2026,1,education,modify,1,Public domain content
SCET0194,video,individual,creative_commons,1,1,1,1,0,1942,20,2026,1,social_media,share,0,Public domain content
SCET0195,article,individual,public_domain,1,1,1,1,1,1902,10,2026,1,research,view,0,Public domain content
SCET0196,video,organization,royalty_free,1,1,1,1,1,1970,20,2026,1,research,remix,0,Public domain content
SCET0197,image,company,public_domain,1,1,1,1,1,1974,70,2026,0,education,download,0,Usage restrictions apply
SCET0198,image,individual,public_domain,1,1,1,1,1,1908,30,2026,1,research,remix,0,Public domain content
SCET0199,video,individual,creative_commons,1,1,1,1,0,2005,70,2026,0,social_media,download,0,Usage restrictions apply
SCET0200,audio,individual,creative_commons,1,1,1,1,0,1910,30,2026,1,social_media,sell,1,Public domain content
SCET0201,audio,individual,creative_commons,1,1,1,1,0,1900,30,2026,1,social_media,share,0,Public domain content
SCET0202,audio,individual,royalty_free,1,1,1,1,1,1901,10,2026,1,research,remix,0,Public domain content
SCET0203,article,individual,creative_commons,1,1,1,1,0,1947,30,2026,1,research,modify,0,Public domain content
SCET0204,image,individual,public_domain,1,1,1,1,1,1904,10,2026,1,research,view,0,Public domain content
SCET0205,article,organization,public_domain,1,1,1,1,1,1925,70,2026,1,education,remix,0,Public domain content
SCET0206,video,individual,creative_commons,1,1,1,1,0,2023,30,2026,0,social_media,remix,0,Usage restrictions apply
SCET0207,pdf,individual,royalty_free,1,1,1,1,1,2009,30,2026,0,education,view,0,Usage restrictions apply
SCET0208,audio,company,royalty_free,1,1,1,1,1,2008,70,2026,0,research,view,0,Usage restrictions apply
SCET0209,video,organization,royalty_free,1,1,1,1,1,1915,20,2026,1,commercial,modify,0,Public domain content
SCET0210,article,company,royalty_free,1,1,1,1,1,2013,50,2026,0,social_media,remix,0,Usage restrictions apply
SCET0211,pdf,company,creative_commons,1,1,1,1,0,1999,20,2026,1,education,remix,0,Public domain content
SCET0212,pdf,individual,all_rights_reserved,1,0,0,0,0,1960,20,2026,1,research,modify,1,Public domain content
SCET0213,audio,organization,royalty_free,1,1,1,1,1,1941,70,2026,1,education,sell,0,Public domain content
SCET0214,pdf,company,all_rights_reserved,1,0,0,0,0,1956,20,2026,1,social_media,download,0,Public domain content
SCET0215,video,individual,public_domain,1,1,1,1,1,1992,10,2026,1,education,share,0,Public domain content
SCET0216,audio,individual,all_rights_reserved,1,0,0,0,0,1978,70,2026,0,commercial,share,1,Usage restrictions apply
SCET0217,article,organization,public_domain,1,1,1,1,1,1937,10,2026,1,education,download,0,Public domain content
SCET0218,image,company,public_domain,1,1,1,1,1,1947,50,2026,1,social_media,remix,0,Public domain content
SCET0219,pdf,individual,royalty_free,1,1,1,1,1,1959,70,2026,0,social_media,download,0,Usage restrictions apply
SCET0220,audio,individual,creative_commons,1,1,1,1,0,2011,20,2026,0,commercial,sell,1,Usage restrictions apply
SCET0221,audio,individual,creative_commons,1,1,1,1,0,1936,10,2026,1,research,modify,0,Public domain content
SCET0222,audio,organization,public_domain,1,1,1,1,1,1996,20,2026,1,education,view,0,Public domain content
SCET0223,audio,company,creative_commons,1,1,1,1,0,1956,50,2026,1,commercial,download,0,Public domain content
SCET0224,video,individual,all_rights_reserved,1,0,0,0,0,1992,20,2026,1,education,modify,1,Public domain content
SCET0225,article,individual,royalty_free,1,1,1,1,1,1937,20,2026,1,social_media,modify,0,Public domain content
SCET0226,article,individual,public_domain,1,1,1,1,1,2006,20,2026,1,education,view,0,Public domain content
SCET0227,article,organization,creative_commons,1,1,1,1,0,1922,70,2026,1,education,sell,1,Public domain content
SCET0228,pdf,company,all_rights_reserved,1,0,0,0,0,2012,10,2026,1,commercial,download,0,Public domain content
SCET0229,image,individual,creative_commons,1,1,1,1,0,1988,50,2026,0,commercial,modify,0,Usage restrictions apply
SCET0230,audio,organization,creative_commons,1,1,1,1,0,2014,50,2026,0,education,sell,1,Usage restrictions apply
SCET0231,video,company,creative_commons,1,1,1,1,0,1922,20,2026,1,education,share,0,Public domain content
SCET0232,article,company,public_domain,1,1,1,1,1,2008,20,2026,0,research,share,0,Usage restrictions apply
SCET0233,video,organization,royalty_free,1,1,1,1,1,2007,20,2026,0,research,view,0,Usage restrictions apply
SCET0234,audio,organization,royalty_free,1,1,1,1,1,2012,10,2026,1,education,download,0,Public domain content
SCET0235,pdf,individual,creative_commons,1,1,1,1,0,1938,50,2026,1,research,remix,0,Public domain content
SCET0236,image,organization,public_domain,1,1,1,1,1,1928,20,2026,1,research,modify,0,Public domain content
SCET0237,image,individual,royalty_free,1,1,1,1,1,1913,20,2026,1,social_media,download,0,Public domain content
SCET0238,video,organization,creative_commons,1,1,1,1,0,1933,50,2026,1,education,share,0,Public domain content
SCET0239,pdf,organization,all_rights_reserved,1,0,0,0,0,1939,70,2026,1,education,share,1,Public domain content
SCET0240,article,company,all_rights_reserved,1,0,0,0,0,1941,50,2026,1,commercial,modify,1,Public domain content
SCET0241,video,organization,public_domain,1,1,1,1,1,1998,50,2026,0,social_media,modify,0,Usage restrictions apply
SCET0242,image,company,all_rights_reserved,1,0,0,0,0,2017,50,2026,0,social_media,remix,1,Usage restrictions apply
SCET0243,video,organization,all_rights_reserved,1,0,0,0,0,1989,10,2026,1,education,modify,1,Public domain content
SCET0244,audio,organization,creative_commons,1,1,1,1,0,1939,30,2026,1,social_media,sell,1,Public domain content
SCET0245,pdf,organization,royalty_free,1,1,1,1,1,1968,20,2026,1,education,sell,0,Public domain content
SCET0246,image,organization,royalty_free,1,1,1,1,1,1936,30,2026,1,education,modify,0,Public domain content
SCET0247,image,organization,all_rights_reserved,1,0,0,0,0,1945,10,2026,1,social_media,share,1,Public domain content
SCET0248,article,company,all_rights_reserved,1,0,0,0,0,1968,70,2026,0,education,remix,1,Usage restrictions apply
SCET0249,article,company,creative_commons,1,1,1,1,0,1936,30,2026,1,commercial,share,0,Public domain content
SCET0250,article,company,creative_commons,1,1,1,1,0,1971,20,2026,1,research,download,0,Public domain content
SCET0251,pdf,organization,creative_commons,1,1,1,1,0,1902,20,2026,1,research,share,0,Public domain content
SCET0252,image,individual,all_rights_reserved,1,0,0,0,0,1943,30,2026,1,research,sell,1,Public domain content
SCET0253,audio,company,creative_commons,1,1,1,1,0,2014,30,2026,0,commercial,remix,0,Usage restrictions apply
SCET0254,image,individual,royalty_free,1,1,1,1,1,2011,70,2026,0,social_media,remix,0,Usage restrictions apply
SCET0255,audio,organization,royalty_free,1,1,1,1,1,1932,20,2026,1,social_media,sell,0,Public domain content
SCET0256,article,individual,public_domain,1,1,1,1,1,1936,70,2026,1,commercial,sell,0,Public domain content
SCET0257,pdf,organization,public_domain,1,1,1,1,1,1997,70,2026,0,commercial,share,0,Usage restrictions apply
SCET0258,article,organization,public_domain,1,1,1,1,1,1962,10,2026,1,education,sell,0,Public domain content
SCET0259,audio,company,public_domain,1,1,1,1,1,1970,20,2026,1,education,sell,0,Public domain content
SCET0260,video,company,royalty_free,1,1,1,1,1,1936,10,2026,1,commercial,view,0,Public domain content
SCET0261,image,organization,creative_commons,1,1,1,1,0,2023,30,2026,0,social_media,remix,0,Usage restrictions apply
SCET0262,pdf,individual,royalty_free,1,1,1,1,1,1909,50,2026,1,research,view,0,Public domain content
SCET0263,video,organization,creative_commons,1,1,1,1,0,1965,20,2026,1,social_media,view,0,Public domain content
